,Portfolio-Value-diff,Summe Einzel-Tages-PnL,Abweichung
2022-05-30,0.0,0.0,0.0
2022-05-31,-421.9182439200231,-421.91824392002064,-2.4442670110147446e-12
2022-06-01,-253.9099160626647,-895.7601285942251,641.8502125315604
2022-06-02,2157.3231878842635,2157.323187884276,-1.2732925824820995e-11
2022-06-03,-2145.719168348529,-2145.719168348571,4.229150363244116e-11
2022-06-06,337.2405826715694,337.2405826715891,-1.9667822925839573e-11
2022-06-07,1069.2916331642482,1069.291633164259,-1.0913936421275139e-11
2022-06-08,-363.5319921056216,-363.5319921056366,1.5006662579253316e-11
2022-06-09,-2611.232578478346,-2611.232578478356,1.000444171950221e-11
2022-06-10,-3010.4399684902746,-3010.4399684902887,1.4097167877480388e-11
2022-06-13,-3880.11356497847,-3880.1135649784587,-1.1368683772161603e-11
2022-06-14,-261.28889657434775,-261.2888965743152,-3.257127900724299e-11
2022-06-15,1744.939349910419,1744.9393499104206,-1.5916157281026244e-12
2022-06-16,-2879.783534673217,-2879.7835346732454,2.8194335754960775e-11
2022-06-17,164.64319407081348,164.64319407082752,-1.404032445861958e-11
2022-06-20,0.0,0.0,0.0
2022-06-21,2476.8489906420873,2476.8489906420414,4.5929482439532876e-11
2022-06-22,229.40546685588197,229.40546685592375,-4.177991286269389e-11
2022-06-23,978.897274091345,978.8972740913463,-1.2505552149377763e-12
2022-06-24,3037.7156276499154,3037.7156276499195,-4.092726157978177e-12
2022-06-27,-358.1138164520671,-358.1138164520706,3.467448550509289e-12
2022-06-28,-2440.9581850974646,-2440.9581850974646,0.0
2022-06-29,124.90815257810755,124.90815257809055,1.6996182239381596e-11
2022-06-30,-1012.1478718204307,-1012.1478718204246,-6.139089236967266e-12
2022-07-01,8237.013784636336,779.1375385420054,7457.876246094331
2022-07-04,0.0,0.0,0.0
2022-07-05,879.8026976091496,879.8026976091334,1.6257217794191092e-11
2022-07-06,398.17904118678416,398.17904118674704,3.7118752516107634e-11
2022-07-07,1766.764566943486,1766.7645669434887,-2.7284841053187847e-12
2022-07-08,185.4997127239767,185.49971272400066,-2.3959501049830578e-11
2022-07-11,-1807.9620236692135,-1807.9620236692074,-6.139089236967266e-12
2022-07-12,-973.8857533039409,-973.885753303968,2.717115421546623e-11
2022-07-13,-61.58014258521143,-61.580142585172325,-3.9108272176235914e-11
2022-07-14,-27.562938819639385,-27.562938819646554,7.169376203819411e-12
2022-07-15,2393.433392210689,2393.4333922106625,2.637534635141492e-11
2022-07-18,-776.1137747460452,-776.1137747460189,-2.637534635141492e-11
2022-07-19,2704.077996824286,2704.077996824286,0.0
2022-07-20,1092.576521177165,1092.5765211771227,4.229150363244116e-11
